,id,location,fault_severity,severity_type,resource_type,log_feature,volume,event_type
48,2272,location 496,0,severity_type 2,resource_type 2,feature 307,1,event_type 35
49,10752,location 321,1,severity_type 2,resource_type 2,feature 312,2,event_type 34
50,17096,location 1107,2,severity_type 1,resource_type 8,feature 71,144,event_type 15
51,17314,location 1086,2,severity_type 2,resource_type 8,feature 82,16,event_type 15
52,12770,location 895,1,severity_type 1,resource_type 2,feature 290,2,event_type 42
53,3304,location 1099,1,severity_type 2,resource_type 8,feature 81,5,event_type 11
54,9012,location 975,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
55,9928,location 1019,2,severity_type 2,resource_type 8,feature 203,22,event_type 15
56,297,location 812,2,severity_type 1,resource_type 8,feature 55,11,event_type 10
57,5751,location 342,0,severity_type 2,resource_type 2,feature 232,3,event_type 35
58,17692,location 744,1,severity_type 2,resource_type 8,feature 54,1,event_type 14
59,3688,location 181,0,severity_type 4,resource_type 2,feature 313,1,event_type 35
60,3425,location 1086,1,severity_type 2,resource_type 8,feature 203,3,event_type 15
61,7871,location 1052,1,severity_type 1,resource_type 8,feature 203,4,event_type 15
62,10013,location 696,0,severity_type 2,resource_type 8,feature 54,1,event_type 11
63,13832,location 1008,1,severity_type 2,resource_type 8,feature 80,1,event_type 15
64,11743,location 798,1,severity_type 2,resource_type 8,feature 82,12,event_type 15
65,10099,location 760,1,severity_type 1,resource_type 8,feature 170,21,event_type 11
66,16682,location 777,1,severity_type 2,resource_type 8,feature 203,1,event_type 15
67,10156,location 95,1,severity_type 2,resource_type 2,feature 232,1,event_type 35
68,16154,location 699,0,severity_type 5,resource_type 2,feature 360,1,event_type 54
69,14176,location 272,1,severity_type 1,resource_type 2,feature 134,1,event_type 35
70,14964,location 704,2,severity_type 2,resource_type 8,feature 201,1,event_type 15
71,12896,location 613,2,severity_type 1,resource_type 8,feature 203,7,event_type 54
72,7288,location 846,2,severity_type 2,resource_type 8,feature 203,18,event_type 15
73,15882,location 795,0,severity_type 1,resource_type 8,feature 101,53,event_type 11
74,12441,location 826,1,severity_type 1,resource_type 7,feature 223,3,event_type 13
75,17248,location 112,0,severity_type 2,resource_type 8,feature 181,1,event_type 11
76,16745,location 778,0,severity_type 2,resource_type 8,feature 80,1,event_type 15
77,5315,location 810,0,severity_type 1,resource_type 8,feature 193,1,event_type 11
78,17118,location 895,1,severity_type 1,resource_type 2,feature 283,1,event_type 42
79,7725,location 690,0,severity_type 1,resource_type 8,feature 73,2,event_type 11
80,2311,location 494,0,severity_type 1,resource_type 8,feature 117,1,event_type 20
81,4292,location 1095,0,severity_type 2,resource_type 8,feature 77,1,event_type 11
82,15773,location 445,0,severity_type 2,resource_type 2,feature 232,7,event_type 35
83,6531,location 478,0,severity_type 2,resource_type 2,feature 234,51,event_type 34
84,16009,location 661,0,severity_type 2,resource_type 7,feature 75,1,event_type 22
85,11930,location 380,0,severity_type 2,resource_type 2,feature 312,7,event_type 35
86,8541,location 242,0,severity_type 2,resource_type 2,feature 232,6,event_type 35
87,11019,location 1082,0,severity_type 1,resource_type 8,feature 68,1,event_type 11
88,8274,location 181,0,severity_type 2,resource_type 2,feature 233,2,event_type 34
89,722,location 1007,0,severity_type 1,resource_type 8,feature 201,2,event_type 11
90,12305,location 131,1,severity_type 2,resource_type 2,feature 301,1,event_type 35
91,11444,location 1007,1,severity_type 1,resource_type 8,feature 80,6,event_type 15
92,4006,location 931,1,severity_type 1,resource_type 8,feature 201,1,event_type 11
93,9231,location 980,1,severity_type 1,resource_type 8,feature 80,1,event_type 11
94,6821,location 118,0,severity_type 1,resource_type 2,feature 232,11,event_type 34
95,12888,location 373,0,severity_type 2,resource_type 2,feature 232,1,event_type 34
96,6779,location 169,0,severity_type 2,resource_type 2,feature 307,2,event_type 35
97,11232,location 421,0,severity_type 1,resource_type 2,feature 307,3,event_type 34
98,11685,location 779,2,severity_type 2,resource_type 8,feature 82,42,event_type 15
99,1318,location 690,1,severity_type 1,resource_type 8,feature 219,1,event_type 11
100,909,location 59,1,severity_type 2,resource_type 8,feature 171,1,event_type 11
101,18511,location 648,1,severity_type 1,resource_type 6,feature 345,2,event_type 11
102,16460,location 478,0,severity_type 2,resource_type 2,feature 309,21,event_type 34
103,12008,location 118,0,severity_type 2,resource_type 2,feature 232,13,event_type 34
104,6811,location 124,0,severity_type 2,resource_type 2,feature 235,5,event_type 35
105,16071,location 7,0,severity_type 1,resource_type 8,feature 171,3,event_type 11
106,4486,location 12,0,severity_type 1,resource_type 8,feature 74,1,event_type 11
107,183,location 1026,1,severity_type 1,resource_type 6,feature 273,2,event_type 13
108,5729,location 270,0,severity_type 4,resource_type 2,feature 313,1,event_type 35
109,15368,location 1106,0,severity_type 1,resource_type 8,feature 170,27,event_type 11
110,5064,location 1090,0,severity_type 1,resource_type 8,feature 202,10,event_type 11
111,11530,location 522,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
112,14860,location 1007,0,severity_type 1,resource_type 8,feature 80,2,event_type 15
113,13166,location 836,0,severity_type 1,resource_type 8,feature 73,1,event_type 11
114,14528,location 145,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
115,4202,location 895,1,severity_type 2,resource_type 2,feature 376,5,event_type 44
116,3916,location 1020,1,severity_type 1,resource_type 8,feature 209,2,event_type 11
117,11454,location 804,1,severity_type 1,resource_type 2,feature 219,1,event_type 20
118,12297,location 1055,0,severity_type 1,resource_type 8,feature 193,81,event_type 11
119,553,location 798,0,severity_type 1,resource_type 8,feature 82,38,event_type 11
120,10390,location 1052,1,severity_type 1,resource_type 8,feature 82,12,event_type 15
121,5056,location 122,0,severity_type 2,resource_type 2,feature 313,3,event_type 34
122,10503,location 157,0,severity_type 2,resource_type 2,feature 232,1,event_type 35
123,1835,location 802,1,severity_type 1,resource_type 8,feature 68,3,event_type 18
124,10085,location 242,0,severity_type 2,resource_type 2,feature 314,71,event_type 34
125,13807,location 893,0,severity_type 1,resource_type 2,feature 376,30,event_type 43
126,11318,location 457,0,severity_type 2,resource_type 2,feature 233,35,event_type 35
127,533,location 99,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
128,10538,location 839,1,severity_type 1,resource_type 8,feature 54,49,event_type 11
129,11549,location 719,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
130,16900,location 793,0,severity_type 1,resource_type 8,feature 195,2,event_type 11
131,599,location 1109,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
132,11700,location 648,0,severity_type 1,resource_type 4,feature 54,3,event_type 11
133,18331,location 957,0,severity_type 2,resource_type 8,feature 171,1,event_type 11
134,5381,location 600,2,severity_type 2,resource_type 8,feature 203,8,event_type 15
135,13638,location 665,0,severity_type 1,resource_type 8,feature 55,16,event_type 11
136,2703,location 846,0,severity_type 2,resource_type 8,feature 82,2,event_type 15
137,13686,location 1107,0,severity_type 2,resource_type 8,feature 193,1,event_type 15
138,6240,location 1052,2,severity_type 1,resource_type 2,feature 203,4,event_type 15
139,8546,location 1107,0,severity_type 1,resource_type 8,feature 71,15,event_type 11
140,4578,location 948,0,severity_type 2,resource_type 8,feature 170,1,event_type 11
141,15870,location 646,0,severity_type 1,resource_type 8,feature 203,10,event_type 11
142,17084,location 302,0,severity_type 4,resource_type 2,feature 301,1,event_type 35
143,4114,location 273,0,severity_type 1,resource_type 8,feature 68,1,event_type 11
144,8011,location 1,0,severity_type 2,resource_type 8,feature 68,7,event_type 15
145,6588,location 124,0,severity_type 2,resource_type 2,feature 315,3,event_type 35
146,12490,location 704,2,severity_type 1,resource_type 8,feature 71,1,event_type 11
147,3975,location 476,0,severity_type 2,resource_type 2,feature 312,5,event_type 35
148,4720,location 152,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
149,15209,location 734,0,severity_type 1,resource_type 8,feature 193,4,event_type 15
150,6092,location 1076,1,severity_type 2,resource_type 8,feature 56,1,event_type 15
151,9426,location 798,0,severity_type 1,resource_type 8,feature 203,12,event_type 11
152,2307,location 520,0,severity_type 2,resource_type 2,feature 312,12,event_type 34
153,13291,location 1046,0,severity_type 1,resource_type 8,feature 345,2,event_type 11
154,17245,location 803,1,severity_type 2,resource_type 8,feature 68,1,event_type 11
155,11726,location 963,0,severity_type 1,resource_type 8,feature 195,129,event_type 11
156,15486,location 821,0,severity_type 1,resource_type 8,feature 193,1,event_type 15
157,9033,location 1061,2,severity_type 1,resource_type 8,feature 80,4,event_type 11
158,9959,location 714,0,severity_type 1,resource_type 8,feature 68,4,event_type 11
159,3798,location 242,0,severity_type 2,resource_type 2,feature 314,13,event_type 35
160,15624,location 613,1,severity_type 1,resource_type 8,feature 193,5,event_type 11
161,5995,location 91,0,severity_type 2,resource_type 2,feature 314,1,event_type 35
162,9644,location 1007,0,severity_type 1,resource_type 8,feature 201,3,event_type 11
163,10779,location 300,0,severity_type 2,resource_type 2,feature 312,13,event_type 34
164,9734,location 272,1,severity_type 2,resource_type 2,feature 312,1,event_type 34
165,14954,location 1106,1,severity_type 1,resource_type 8,feature 54,13,event_type 11
166,15493,location 611,0,severity_type 1,resource_type 2,feature 134,2,event_type 20
167,6222,location 724,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
168,17390,location 173,1,severity_type 2,resource_type 2,feature 233,1,event_type 34
169,6826,location 943,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
170,8611,location 821,2,severity_type 1,resource_type 8,feature 82,21,event_type 11
171,9087,location 795,0,severity_type 2,resource_type 8,feature 51,13,event_type 15
172,17472,location 733,1,severity_type 1,resource_type 8,feature 206,2,event_type 11
173,12760,location 249,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
174,4963,location 704,2,severity_type 2,resource_type 8,feature 203,9,event_type 15
175,6225,location 821,1,severity_type 1,resource_type 8,feature 74,1,event_type 11
176,7959,location 802,0,severity_type 1,resource_type 6,feature 345,2,event_type 13
177,1773,location 957,1,severity_type 1,resource_type 2,feature 202,2,event_type 54
178,6136,location 408,1,severity_type 2,resource_type 2,feature 315,2,event_type 34
179,5965,location 723,1,severity_type 1,resource_type 8,feature 209,2,event_type 11
180,5390,location 255,0,severity_type 2,resource_type 2,feature 312,4,event_type 35
181,13663,location 655,2,severity_type 1,resource_type 8,feature 158,14,event_type 11
182,4501,location 888,0,severity_type 1,resource_type 2,feature 134,2,event_type 20
183,13442,location 704,1,severity_type 2,resource_type 8,feature 82,8,event_type 15
184,6958,location 989,0,severity_type 2,resource_type 8,feature 68,1,event_type 11
185,16339,location 1015,0,severity_type 1,resource_type 8,feature 54,4,event_type 11
186,9372,location 1019,0,severity_type 1,resource_type 8,feature 196,22,event_type 15
187,5576,location 692,1,severity_type 1,resource_type 8,feature 170,1,event_type 11
188,663,location 653,0,severity_type 1,resource_type 2,feature 82,27,event_type 54
189,1473,location 945,1,severity_type 1,resource_type 8,feature 202,4,event_type 11
190,949,location 651,0,severity_type 1,resource_type 8,feature 83,1,event_type 11
191,10513,location 1106,0,severity_type 1,resource_type 8,feature 54,1,event_type 11
192,14289,location 763,1,severity_type 1,resource_type 8,feature 196,2,event_type 11
193,15260,location 416,0,severity_type 4,resource_type 2,feature 301,2,event_type 35
194,9812,location 830,0,severity_type 1,resource_type 8,feature 54,108,event_type 11
195,4916,location 704,2,severity_type 2,resource_type 8,feature 82,14,event_type 15
196,17515,location 1024,2,severity_type 1,resource_type 8,feature 42,7,event_type 11
197,17388,location 497,0,severity_type 2,resource_type 2,feature 232,2,event_type 35
198,4450,location 890,0,severity_type 2,resource_type 8,feature 73,3,event_type 11
199,16258,location 849,0,severity_type 2,resource_type 8,feature 109,13,event_type 11
200,10528,location 208,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
201,4003,location 255,1,severity_type 2,resource_type 2,feature 312,3,event_type 34
202,3954,location 139,1,severity_type 1,resource_type 2,feature 313,1,event_type 20
203,13945,location 914,1,severity_type 1,resource_type 4,feature 306,1,event_type 23
204,15607,location 326,0,severity_type 1,resource_type 2,feature 135,2,event_type 21
205,11897,location 937,0,severity_type 1,resource_type 8,feature 204,2,event_type 11
206,12609,location 1086,0,severity_type 2,resource_type 8,feature 82,10,event_type 15
207,10122,location 506,0,severity_type 2,resource_type 2,feature 313,6,event_type 35
208,7886,location 149,0,severity_type 4,resource_type 2,feature 307,1,event_type 35
209,15771,location 846,0,severity_type 2,resource_type 8,feature 82,8,event_type 15
210,17681,location 865,0,severity_type 1,resource_type 8,feature 54,2,event_type 11
211,15863,location 925,2,severity_type 1,resource_type 8,feature 170,12,event_type 11
212,17690,location 798,1,severity_type 2,resource_type 8,feature 203,5,event_type 15
213,8606,location 243,0,severity_type 2,resource_type 2,feature 234,63,event_type 34
214,11362,location 193,0,severity_type 2,resource_type 2,feature 314,1,event_type 35
215,4604,location 723,0,severity_type 1,resource_type 8,feature 87,1,event_type 11
216,5480,location 471,0,severity_type 2,resource_type 2,feature 233,2,event_type 34
217,12277,location 1107,2,severity_type 1,resource_type 8,feature 82,129,event_type 11
218,1400,location 375,0,severity_type 2,resource_type 2,feature 313,5,event_type 34
219,6687,location 91,0,severity_type 2,resource_type 2,feature 235,289,event_type 35
220,11153,location 1047,0,severity_type 2,resource_type 8,feature 55,2,event_type 11
221,8313,location 798,2,severity_type 2,resource_type 8,feature 82,37,event_type 15
222,5787,location 490,0,severity_type 2,resource_type 2,feature 312,1,event_type 35
223,741,location 1051,0,severity_type 1,resource_type 8,feature 207,1,event_type 11
224,16502,location 763,0,severity_type 2,resource_type 8,feature 82,12,event_type 15
225,4036,location 896,0,severity_type 1,resource_type 2,feature 375,8,event_type 42
226,5029,location 1011,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
227,18158,location 834,1,severity_type 2,resource_type 8,feature 203,4,event_type 15
228,18441,location 118,0,severity_type 2,resource_type 2,feature 312,16,event_type 35
229,4268,location 97,0,severity_type 4,resource_type 2,feature 312,2,event_type 35
230,4092,location 1019,0,severity_type 1,resource_type 8,feature 82,12,event_type 15
231,16819,location 226,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
232,7774,location 962,2,severity_type 2,resource_type 8,feature 203,4,event_type 15
233,5824,location 885,0,severity_type 2,resource_type 8,feature 70,1,event_type 11
234,7295,location 821,1,severity_type 1,resource_type 8,feature 193,1,event_type 11
235,18146,location 812,0,severity_type 1,resource_type 8,feature 18,2,event_type 11
236,17409,location 816,2,severity_type 1,resource_type 8,feature 170,154,event_type 13
237,6095,location 638,0,severity_type 4,resource_type 2,feature 376,4,event_type 42
238,9032,location 945,0,severity_type 1,resource_type 8,feature 191,6,event_type 11
239,5210,location 468,0,severity_type 2,resource_type 2,feature 312,12,event_type 34
240,11177,location 380,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
241,12324,location 1109,1,severity_type 1,resource_type 8,feature 273,2,event_type 11
242,1697,location 1122,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
243,3106,location 1098,1,severity_type 2,resource_type 8,feature 207,1,event_type 11
244,7824,location 376,0,severity_type 1,resource_type 2,feature 221,1,event_type 34
245,2588,location 1,0,severity_type 1,resource_type 8,feature 82,9,event_type 15
246,13644,location 303,0,severity_type 4,resource_type 2,feature 312,1,event_type 35
247,13082,location 126,0,severity_type 2,resource_type 2,feature 227,6,event_type 34
248,8150,location 520,0,severity_type 2,resource_type 2,feature 232,9,event_type 35
249,6234,location 734,0,severity_type 1,resource_type 8,feature 71,5,event_type 11
250,10350,location 507,0,severity_type 2,resource_type 2,feature 312,27,event_type 35
251,13538,location 709,0,severity_type 1,resource_type 8,feature 73,2,event_type 11
252,2338,location 466,0,severity_type 2,resource_type 2,feature 234,2,event_type 35
253,17947,location 466,0,severity_type 2,resource_type 2,feature 228,2,event_type 35
254,9786,location 12,0,severity_type 2,resource_type 8,feature 178,1,event_type 15
255,9514,location 1102,0,severity_type 2,resource_type 8,feature 65,2,event_type 11
256,13670,location 998,0,severity_type 2,resource_type 8,feature 54,1,event_type 11
257,15482,location 727,0,severity_type 1,resource_type 8,feature 209,1,event_type 11
258,12517,location 76,1,severity_type 1,resource_type 8,feature 171,2,event_type 11
259,411,location 734,1,severity_type 1,resource_type 8,feature 80,3,event_type 11
260,10237,location 830,0,severity_type 1,resource_type 8,feature 170,31,event_type 11
261,12734,location 798,0,severity_type 1,resource_type 8,feature 203,6,event_type 11
262,10863,location 309,0,severity_type 2,resource_type 2,feature 232,2,event_type 34
263,11390,location 737,0,severity_type 2,resource_type 8,feature 42,2,event_type 11
264,5260,location 1111,0,severity_type 1,resource_type 8,feature 207,1,event_type 11
265,8244,location 314,1,severity_type 2,resource_type 2,feature 313,2,event_type 34
266,4161,location 1023,1,severity_type 1,resource_type 9,feature 217,1,event_type 29
267,16354,location 658,0,severity_type 1,resource_type 8,feature 161,1,event_type 11
268,15236,location 477,0,severity_type 2,resource_type 2,feature 234,36,event_type 35
269,14877,location 990,0,severity_type 1,resource_type 8,feature 170,4,event_type 11
270,4810,location 445,0,severity_type 2,resource_type 2,feature 312,9,event_type 35
271,4637,location 618,0,severity_type 4,resource_type 7,feature 306,2,event_type 23
272,14124,location 758,1,severity_type 1,resource_type 8,feature 68,1,event_type 11
273,4737,location 488,0,severity_type 2,resource_type 2,feature 234,2,event_type 34
274,5377,location 643,1,severity_type 1,resource_type 2,feature 368,2,event_type 42
275,14696,location 834,0,severity_type 2,resource_type 8,feature 82,24,event_type 15
276,2880,location 607,1,severity_type 1,resource_type 4,feature 68,3,event_type 40
277,17021,location 141,0,severity_type 4,resource_type 2,feature 307,1,event_type 35
278,11043,location 497,0,severity_type 2,resource_type 2,feature 313,27,event_type 35
279,6,location 332,1,severity_type 2,resource_type 2,feature 227,1,event_type 34
280,2380,location 821,1,severity_type 1,resource_type 8,feature 82,13,event_type 54
281,6563,location 794,0,severity_type 1,resource_type 7,feature 306,1,event_type 14
282,2273,location 814,0,severity_type 1,resource_type 8,feature 70,15,event_type 11
283,1743,location 794,1,severity_type 1,resource_type 4,feature 223,1,event_type 23
284,12919,location 921,2,severity_type 2,resource_type 8,feature 82,4,event_type 15
285,7922,location 742,0,severity_type 1,resource_type 2,feature 201,1,event_type 54
286,8201,location 897,0,severity_type 4,resource_type 2,feature 374,2,event_type 50
287,13659,location 466,0,severity_type 2,resource_type 2,feature 307,3,event_type 35
288,2861,location 1107,0,severity_type 1,resource_type 8,feature 193,1,event_type 11
289,17883,location 744,2,severity_type 1,resource_type 8,feature 54,13,event_type 13
290,17057,location 122,0,severity_type 2,resource_type 2,feature 232,1,event_type 34
291,12316,location 240,0,severity_type 2,resource_type 2,feature 227,2,event_type 35
292,12541,location 691,0,severity_type 1,resource_type 8,feature 134,1,event_type 23
293,363,location 809,0,severity_type 1,resource_type 8,feature 71,5,event_type 11
294,4166,location 549,1,severity_type 1,resource_type 8,feature 171,4,event_type 39
295,8354,location 810,0,severity_type 2,resource_type 8,feature 193,1,event_type 15
296,9160,location 1089,1,severity_type 1,resource_type 8,feature 170,7,event_type 11
297,1476,location 266,0,severity_type 4,resource_type 2,feature 312,2,event_type 35
298,8193,location 1010,1,severity_type 1,resource_type 8,feature 195,5,event_type 11
299,12708,location 1094,1,severity_type 1,resource_type 8,feature 74,2,event_type 11
300,13410,location 345,0,severity_type 2,resource_type 2,feature 44,1,event_type 11
301,12066,location 501,0,severity_type 2,resource_type 2,feature 315,2,event_type 35
302,8570,location 939,0,severity_type 1,resource_type 8,feature 193,1,event_type 11
303,4204,location 957,0,severity_type 1,resource_type 8,feature 55,2,event_type 11
304,18290,location 373,0,severity_type 2,resource_type 2,feature 232,69,event_type 34
305,11441,location 684,2,severity_type 2,resource_type 8,feature 203,4,event_type 15
306,17975,location 1094,1,severity_type 1,resource_type 8,feature 66,1,event_type 11
307,11262,location 821,0,severity_type 2,resource_type 8,feature 82,14,event_type 15
308,3768,location 823,0,severity_type 1,resource_type 8,feature 71,5,event_type 11
309,11418,location 244,0,severity_type 2,resource_type 2,feature 232,52,event_type 35
310,13813,location 857,1,severity_type 1,resource_type 8,feature 204,2,event_type 11
311,1665,location 846,1,severity_type 2,resource_type 8,feature 82,17,event_type 15
312,4170,location 1065,0,severity_type 1,resource_type 2,feature 134,1,event_type 20
313,12798,location 1008,0,severity_type 2,resource_type 8,feature 82,18,event_type 15
314,681,location 1099,0,severity_type 1,resource_type 8,feature 70,5,event_type 11
315,319,location 1099,0,severity_type 1,resource_type 8,feature 202,2,event_type 11
316,17956,location 300,0,severity_type 2,resource_type 2,feature 313,8,event_type 34
317,429,location 793,0,severity_type 1,resource_type 8,feature 195,37,event_type 11
318,6663,location 906,1,severity_type 1,resource_type 8,feature 202,4,event_type 11
319,10586,location 404,1,severity_type 1,resource_type 2,feature 219,1,event_type 35
320,8583,location 1117,0,severity_type 1,resource_type 8,feature 55,3,event_type 11
321,8030,location 461,0,severity_type 2,resource_type 2,feature 312,3,event_type 35
322,5099,location 95,0,severity_type 2,resource_type 2,feature 230,6,event_type 35
323,446,location 1056,1,severity_type 1,resource_type 6,feature 170,1,event_type 11
324,5725,location 995,1,severity_type 2,resource_type 8,feature 203,2,event_type 15
325,15436,location 893,0,severity_type 1,resource_type 2,feature 368,10,event_type 42
326,6758,location 500,0,severity_type 2,resource_type 2,feature 315,1,event_type 35
327,6449,location 122,0,severity_type 2,resource_type 2,feature 313,5,event_type 35
328,4552,location 613,1,severity_type 1,resource_type 8,feature 203,4,event_type 54
329,17865,location 846,0,severity_type 2,resource_type 8,feature 203,11,event_type 15
330,1645,location 653,1,severity_type 2,resource_type 8,feature 203,2,event_type 15
331,1308,location 100,0,severity_type 2,resource_type 2,feature 230,1,event_type 34
332,8781,location 311,1,severity_type 2,resource_type 2,feature 312,7,event_type 34
333,831,location 126,0,severity_type 2,resource_type 2,feature 313,3,event_type 34
334,15145,location 1107,0,severity_type 2,resource_type 8,feature 71,1,event_type 15
335,17654,location 477,0,severity_type 1,resource_type 8,feature 211,1,event_type 34
336,603,location 507,0,severity_type 2,resource_type 2,feature 229,2,event_type 35
337,5962,location 390,0,severity_type 2,resource_type 2,feature 315,1,event_type 35
338,11520,location 756,0,severity_type 1,resource_type 8,feature 68,1,event_type 11
339,10341,location 90,0,severity_type 2,resource_type 2,feature 232,4,event_type 34
340,5070,location 684,0,severity_type 1,resource_type 8,feature 203,14,event_type 15
341,1197,location 479,0,severity_type 2,resource_type 2,feature 314,10,event_type 34
342,6187,location 734,1,severity_type 1,resource_type 8,feature 74,1,event_type 11
343,733,location 1106,0,severity_type 1,resource_type 8,feature 54,16,event_type 11
344,2242,location 124,0,severity_type 2,resource_type 2,feature 307,2,event_type 34
345,479,location 1025,0,severity_type 1,resource_type 8,feature 188,1,event_type 11
346,12362,location 473,0,severity_type 2,resource_type 2,feature 315,4,event_type 35
347,14596,location 314,0,severity_type 2,resource_type 2,feature 313,1,event_type 35
348,6801,location 1107,1,severity_type 1,resource_type 8,feature 203,7,event_type 11
349,4896,location 249,1,severity_type 1,resource_type 8,feature 160,3,event_type 11
350,3287,location 613,1,severity_type 1,resource_type 8,feature 203,4,event_type 11
351,8377,location 161,1,severity_type 2,resource_type 2,feature 312,2,event_type 34
352,14233,location 1029,0,severity_type 1,resource_type 8,feature 171,2,event_type 11
353,5065,location 711,0,severity_type 1,resource_type 8,feature 172,2,event_type 11
354,6233,location 375,0,severity_type 2,resource_type 2,feature 313,50,event_type 35
355,4160,location 97,0,severity_type 1,resource_type 2,feature 219,1,event_type 20
356,16840,location 244,0,severity_type 2,resource_type 2,feature 232,31,event_type 34
357,18192,location 1054,0,severity_type 1,resource_type 8,feature 73,2,event_type 11
358,7711,location 974,0,severity_type 2,resource_type 8,feature 209,2,event_type 11
359,7254,location 810,1,severity_type 1,resource_type 8,feature 193,1,event_type 15
360,3214,location 734,0,severity_type 1,resource_type 8,feature 82,4,event_type 15
361,14597,location 1115,1,severity_type 1,resource_type 8,feature 73,1,event_type 11
362,15086,location 867,2,severity_type 1,resource_type 8,feature 204,2,event_type 11
363,8686,location 326,0,severity_type 1,resource_type 2,feature 308,1,event_type 21
364,16989,location 931,2,severity_type 1,resource_type 1,feature 203,3,event_type 20
